epoch,accuracy,loss,val_accuracy,val_loss
0,0.5865384340286255,0.6830676794052124,0.7346153855323792,0.6414766907691956
1,0.6509615182876587,0.6285473108291626,0.7423076629638672,0.5385114550590515
2,0.6855769157409668,0.60163414478302,0.7461538314819336,0.558468222618103
3,0.7144230604171753,0.5851039290428162,0.75,0.5197590589523315
4,0.7230769395828247,0.5594726204872131,0.7615384459495544,0.5179091691970825
5,0.7355769276618958,0.5510891079902649,0.7615384459495544,0.49158331751823425
6,0.7221153974533081,0.5489242076873779,0.7615384459495544,0.4990973174571991
7,0.754807710647583,0.5167577266693115,0.7923076748847961,0.470649778842926
8,0.7557692527770996,0.5087636113166809,0.7692307829856873,0.527775228023529
9,0.7201923131942749,0.524597704410553,0.7769230604171753,0.49020954966545105
10,0.7605769038200378,0.5063186883926392,0.8038461804389954,0.44829434156417847
11,0.7596153616905212,0.4865788519382477,0.7384615540504456,0.5394791960716248
12,0.7394230961799622,0.5402349233627319,0.7961538434028625,0.46036142110824585
13,0.7701923251152039,0.47960981726646423,0.800000011920929,0.44939523935317993
